ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
2019-06-07_15:24:35 - Epoch: 1, val_loss: 0.049172, val_mean_squared_error: 0.049172, val_shape_metric: 0.000000, loss: 0.074917, mean_squared_error: 0.074917, shape_metric: 0.000000
2019-06-07_15:25:12 - Epoch: 2, val_loss: 0.006601, val_mean_squared_error: 0.006601, val_shape_metric: 0.000000, loss: 0.003111, mean_squared_error: 0.003111, shape_metric: 0.000000
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_with_shape_gamma0.01
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_with_shape_gamma0.01
2019-06-07_18:02:57 - Epoch: 1, val_loss: 3.631961, val_mean_squared_error: 0.056097, val_shape_metric: 3.575864, loss: 5.659484, mean_squared_error: 0.138816, shape_metric: 5.520668
2019-06-07_19:17:44 - Epoch: 2, val_loss: 3.325123, val_mean_squared_error: 0.021931, val_shape_metric: 3.303192, loss: 2.324361, mean_squared_error: 0.033008, shape_metric: 2.291353
2019-06-07_20:34:21 - Epoch: 3, val_loss: 1.997677, val_mean_squared_error: 0.009101, val_shape_metric: 1.988576, loss: 1.284098, mean_squared_error: 0.013309, shape_metric: 1.270789
2019-06-07_21:51:25 - Epoch: 4, val_loss: 4.262342, val_mean_squared_error: 0.008107, val_shape_metric: 4.254234, loss: 1.221603, mean_squared_error: 0.020003, shape_metric: 1.201600
2019-06-07_23:09:13 - Epoch: 5, val_loss: 2.422434, val_mean_squared_error: 0.003838, val_shape_metric: 2.418596, loss: 0.952735, mean_squared_error: 0.005443, shape_metric: 0.947292
2019-06-08_00:23:58 - Epoch: 6, val_loss: 1.343419, val_mean_squared_error: 0.002313, val_shape_metric: 1.341106, loss: 0.861666, mean_squared_error: 0.003282, shape_metric: 0.858384
2019-06-08_01:41:45 - Epoch: 7, val_loss: 4.121931, val_mean_squared_error: 0.004129, val_shape_metric: 4.117802, loss: 0.892929, mean_squared_error: 0.002864, shape_metric: 0.890065
2019-06-08_02:59:05 - Epoch: 8, val_loss: 1.170706, val_mean_squared_error: 0.002790, val_shape_metric: 1.167915, loss: 0.793272, mean_squared_error: 0.003178, shape_metric: 0.790094
2019-06-08_04:16:08 - Epoch: 9, val_loss: 1.118692, val_mean_squared_error: 0.001755, val_shape_metric: 1.116937, loss: 0.807281, mean_squared_error: 0.002573, shape_metric: 0.804709
2019-06-08_05:33:43 - Epoch: 10, val_loss: 1.176299, val_mean_squared_error: 0.003268, val_shape_metric: 1.173031, loss: 0.714842, mean_squared_error: 0.002339, shape_metric: 0.712503
